Product Name,Brand Name,Original Price,Selling Price,Condition,Availibilty,Purchase Date,Product Link,Image URL,Size / Specifications,,
Bluetooth Speaker,JBL Partybox Encore Essential,199,150,Mint Condition,In talks,4/17/2024,https://www.amazon.com/gp/product/B09VMPBBY5/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,https://m.media-amazon.com/images/I/715ZVRDE8NL._AC_SL1262_.jpg,,,
Monitor,"LG 29WP60G-B UltraWide Monitor 29"" 21:9 FHD (2560 x 1080)",199,150,Fairly Used,In talks,1/10/2024,https://www.amazon.com/gp/product/B08V86LGBS/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,https://m.media-amazon.com/images/I/91YTNMvJxAL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Electric Scooter,"Hiboy S2 Pro/S2 MAX Electric Scooter, 500W Motor, 10"" Solid Tires, 25-40.4 Miles Range",399,370,Fairly Used,Available,3/20/2024,https://www.amazon.com/gp/product/B086N23QBD/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1,https://m.media-amazon.com/images/I/61xpDfP-eXL._AC_SX679_.jpg,,,
Kettle ,"BELLA 1.7 Liter Glass Electric Kettle, Quickly Boil 7 Cups of Water in 6-7 Minutes, Soft Blue LED",24.99,15,Mint Condition,Available,8/15/2024,https://www.amazon.com/BELLA-Electric-Illuminate-Cordless-Portable/dp/B08NHSX17H/ref=sr_1_3?crid=1UEF6FEWZR853&dib=eyJ2IjoiMSJ9.5ymJi-MspU7IWRT9VsnyFbII1shlTxoOeARwct8u5iK9fWgTj1uKymyAAzf0BQHnMr4QNsPBQK2qfvncO07Wo2zEOJ4SIZJl86N3hdUo1iQgnOqkP3adHWQzgG3BJno7aH_DfpU5viaFmyIM9HJW4ouJSbNjHMj6qYAiDPURUcwFkawJ05v66lTTG507ZvU-alEzD9zOjdWoQLOGVU4dEUz_O8wdU15nb4XjKuDBhgLql3EDJkJgHlN1hX8An659qO6FOgSkCEMMurit61_vNFDkqmQERrGgcpTJI-uCuX4.b7zWGKXh7ZzbJCP7DVw1dczgg5koMOddBmWVGW-b-tE&dib_tag=se&keywords=bella+kettle+electric+ceramic&qid=1733519034&sprefix=bella+ke%2Caps%2C119&sr=8-3,https://m.media-amazon.com/images/I/715KJny4wqS.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Air fryer,Gourmia 7 Quart Digital Air Fryer,64.99,45,Fairly Used,Available,4/10/2024,https://www.amazon.com/Gourmia-GAF798-Quart-Digital-Fryer/dp/B09LTS1JX4/ref=sr_1_16?crid=13OUUJCLLB9IJ&dib=eyJ2IjoiMSJ9.Im8-5-Oqb7ORL14pwt_giUPZCYVB4KMv5dTjdCXFIvnGQ9oIhJ7Q6s76SQTlERzkd4CdN_6LtjsCrEuZjUooXylcWd9hWcS7rVOgvEj_3dUUnzsQ-7cO92JGylxn8J8ze_H9N3j_Y9x9sMpDSJcCer3VJWyJ11GIUg_9cDuPT4SYZopruTu3LLi52jMFepKBr5e2Va1dJpq44pP6AaYS22CvrlSTVaFl87Q-E2KIQA8.i4Aau3ihhJP88sR7-qRJFssstJnzsPgqzmsi8l7wsOk&dib_tag=se&keywords=air+fryer+gourmia&qid=1733519111&sprefix=air+fryer+gourmia%2Caps%2C130&sr=8-16,https://m.media-amazon.com/images/I/61utx27+IrL._AC_SY300_SX300_.jpg,,,
Guitar,Donner DST-100S 39 Inch Full Size Electric Guitar Kit Solid,179.99,120,Fairly Used,Available,12/13/2023,https://www.amazon.com/gp/product/B07DG4VCKG/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1,https://m.media-amazon.com/images/I/71llHDMpU-L.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Omellete Maker,Holstein Housewares - Non-Stick Omelet & Frittata Maker,19,12,Mint Condition,Available,2/7/2024,https://www.amazon.com/dp/B01J681UF0?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/617JFoP0n7L.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Toaster,BLACK+DECKER 2-Slice Toaster,31.58,25,Fairly Used,Available,2/8/2024,https://www.amazon.com/dp/B002CVTT4S?ref=ppx_yo2ov_dt_b_fed_asin_title,https://m.media-amazon.com/images/I/71WNFW09p4L._AC_SX679_.jpg,,,
Knife Set,Marco Almond Kitchen Knife Set,35.98,15,Used,Available,8/16/2023,https://www.amazon.com/dp/B094MWSHK9?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/61kRV4IirNL._AC_SX679_.jpg,,,
Dosa Pan,"Hawkins Futura Nonstick Dosa Tava, Diameter 33 cm (13 inch), Thickness 4.88 mm (Black) NDT33",38.97,22,Used,Available,3/16/2024,https://www.amazon.com/dp/B0091X7RVM?ref=ppx_yo2ov_dt_b_fed_asin_title,https://m.media-amazon.com/images/I/51Z86bIiB+L._AC_SY300_SX300_.jpg,,,
Laptop Table,Nearpow Laptop Bed Tray Table,50,30,Mint Condition,Available,7/10/2024,https://www.amazon.com/dp/B07439DYBR?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/61qIOsMkhfL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Meat Tenderizer,KitchenAid Gourmet Multi Sided Meat Tenderizer,8.49,0,Mint Condition,Available,2/20/2024,https://www.amazon.com/dp/B07Q2WVG1Z?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/61wKT9uuRJL.__AC_SY300_SX300_QL70_FMwebp_.jpg,,,Free only if you made a purchase of some other item as well from the list else $5.99
Rice Dispenser,"25 Lbs Rice Dispenser, Large Cereal Dry Food Storage Containers with Measuring Cup",29.99,20,Fairly Used,Available,2/12/2024,https://www.amazon.com/dp/B09Q37WL2Q?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/61iA9ABU5YL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Hair dryer,REVLON Volume Booster Hair Dryer,19.99,12,Fairly Used,In talks,2/2/2024,https://www.amazon.com/dp/B008QMQXQY?ref=ppx_yo2ov_dt_b_fed_asin_title,https://m.media-amazon.com/images/I/41mnpg-NpHL._SX300_SY300_QL70_FMwebp_.jpg,,,
Home Projector,"AuKing Projector, 2024 Upgraded Mini Projector, Full HD 1080P",69.99,60,Mint Condition,Available,11/20/2024,https://www.amazon.com/dp/B07MTCMHZX?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/61+CDKTXYgL._AC_SY300_SX300_.jpg,,,
Food Scale,"Ozeri Pronto Digital Multifunction Kitchen and Food Scale, Black on White",10,8.99,Mint Condition,Available,11/5/2024,https://www.amazon.com/dp/B017OAPPC6?ref=ppx_yo2ov_dt_b_fed_asin_title,https://m.media-amazon.com/images/I/51xqhFFmdoL._SY445_SX342_QL70_FMwebp_.jpg,,,
Mechanical Keyboard,"RK ROYAL KLUDGE RK61 60% Mechanical Keyboard with Coiled Cable,",56.99,45,Fairly Used,Available,9/5/2023,https://www.amazon.com/gp/product/B07P6Y1KP9/ref=ppx_yo_dt_b_search_asin_image?ie=UTF8&th=1,https://m.media-amazon.com/images/I/71g6wzBOsvL._AC_SX679_.jpg,,,
Portable Blender,Portable Blender Smoothies Personal Blender Mini Shakes Juicer Cup USB Rechargeable 14oz. (Pink),19.99,9.99,Fairly Used,Available,4/10/2024,https://www.amazon.com/dp/B084P3FJKL?ref=ppx_yo2ov_dt_b_fed_asin_title,https://m.media-amazon.com/images/I/61ieg9jhsNS.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Mens Snow Boots,Columbia Men's Snow Boot,119.5,80,Unused,Available,1/17/2024,https://www.amazon.com/Columbia-Mens-Bugaboot-Black-Bright/dp/B0CLWLQTGL/ref=asc_df_B0CLWLQTGL?mcid=689931cbb36339e8b43e94c90678c658&tag=hyprod-20&linkCode=df0&hvadid=707230942938&hvpos=&hvnetw=g&hvrand=4482919109778492148&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9005677&hvtargid=pla-2335346486836&psc=1,https://m.media-amazon.com/images/I/71-l21uIbCL._AC_SY695_.jpg,Size: M 10.5,,
Mens Snow Jacket,Columbia Snow Jacket,119.9,80,Unused,Available,1/17/2024,https://www.amazon.com/Columbia-Powder-Hooded-Jacket-Greenscape/dp/B0CLR1C8TF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.y-cOOfAJrZK8tSLOR27ma4xPXls4v6WjyoRwKNho2FopczcKZj8dDNhsRU3jfLkgKbJuhoBGn-UEmfipISiXdLWOG_x6J70uPiVqrDT35YfsUsgJFj22OmOFgHaJlTRHuT45j0_thkwvKYDoc7AwA_cxnc-T9lZhxdg9frTzSWa-r9AvqmavYWnhlqPKm7yAWX3eaKPCJ4ouLAQFP3KOMSExosyc9Er2Hke249Kb0HWFech0i5Oo95fd7nwabxtM5LXDodG6NA2Y7feRUZX-wuEmxuvkogN9jCUwkLGSZCY.WyRUG9wXTLGiTW0nlvC_6nCdtVD8O9VyqAl0Yat1kG8&dib_tag=se&keywords=Men%E2%80%99s%2BPowder%2BLite%E2%84%A2%EF%B8%8F%2BHooded%2BInsulated%2BJacket&qid=1733521620&sr=8-6&th=1&psc=1,https://m.media-amazon.com/images/I/71iy3bhclGL._AC_SX679_.jpg,Size: M,Product Links not available on Amazon hence sharing similar product links,
Portable Heater,Lasko Oscillating Digital Ceramic Tower Heater for Home,79.99,40,Fairly Used,Available,9/12/2023,https://www.amazon.com/Lasko-755320-Ceramic-Digital-Display/dp/B000TTV2QS/ref=sr_1_1?crid=2ZNX9M9NNRWEQ&dib=eyJ2IjoiMSJ9.HRpkOVUbrpcH_SbFQiDdCXKMAGoofengB5uPx5XOsfwvuts9_sXroJ7C9u7IbSfsP7hOmhr9Oq_H20cVjzXDgBk4_jYoFunoc_paxSBqyPZsWbw3A1Aaq8uu1RKn6Ndol1EtGkTxysEnhGE9JX1Xbbv3_rdLufbQszB-H94fJsGSoVMFepgE2ywPE9vJaJYkic53Qcjgkv02UKTtgaOo7JyynkVm1kR0qkiCS7mVS1uePdHXRA-p-7Qk7hGeicxLrViV-GP5cZO7ZRC5iSrTXnSs95v8xfYvfHHE7vnSBfM.625Mdoic4ECuK7kyNplOvyc14IURZa0MUgvnk-uXeyE&dib_tag=se&keywords=lasko%2Bportable%2Bheater&qid=1733521701&sprefix=lasko%2Bpor%2Caps%2C274&sr=8-1&ufe=INHOUSE_INSTALLMENTS%3AUS_IHI_3M_HARDLINES_AUTOMATED&th=1,https://m.media-amazon.com/images/I/71-eZFvVt9L.__AC_SX300_SY300_QL70_FMwebp_.jpg,,Product Links not available on Amazon hence sharing similar product links,
Chopping Board,Hiware Extra Large Bamboo Cutting Board ,15.99,5,Fairly Used,Available,6/6/2023,https://www.amazon.com/dp/B08LCXZ3WD?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/71H+HnrQ+aL._AC_SY300_SX300_.jpg,,,
Bike Cover,Puroma Bike Cover Outdoor Waterproof Bicycle Covers Rain ,19.99,10,Unused,Available,3/20/2024,https://www.amazon.com/dp/B087BD3VLT?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/61avtd+iw3S._AC_SY300_SX300_.jpg,,,
Helmet,JBM Skateboard Helmet ,29.99,25,Unused,Available,3/20/2024,https://www.amazon.com/dp/B017W0F4DS?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/51hMQvVAlpL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Bike Lock,"E Scooter Lock,Bike Lock Combination",9.99,Free with Bike,Fairly Used,Available,3/20/2024,https://www.amazon.com/dp/B0BRHXXPLW?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,https://m.media-amazon.com/images/I/61Jjex5w2WL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Pot,"CAROTE 4.3 Qt Nonstick Stock Pot with Lid Soup Pot, Granite Pot 4.3 Quart Pot with Lid",34.55,25,Fairly Used,Available,11/21/2023,https://www.amazon.com/dp/B07LCLSFZT?ref=ppx_yo2ov_dt_b_fed_asin_title,https://m.media-amazon.com/images/I/71zZ7Ut+k0L._AC_SY300_SX300_.jpg,,,
Electric Blanket,"Westinghouse Heated Blanket Queen Size, Soft Flannel to Sherpa Electric Blanket ",93.57,65,Fairly Used,Available,6/6/2023,https://www.amazon.com/Westinghouse-Electric-Reversible-Settings-Washable/dp/B08K3HST57/ref=sr_1_17_sspa?crid=21X2S177NNR5F&dib=eyJ2IjoiMSJ9.swoI7ykA5GjbhxBeHbqOcJRnHCrYXSepz7vvhw348Jf88F6D33TdvoYOMSLfAKHXdNo8M2QNNt9TgyH7v1oal85snfYWYsYkLbCK10e8Ar88mB_aixw-wAshUFkaBw6li9Nrxg1uqZlNQK_npAnxQ3nhNOvQUaCioNT_6md5389UWH8sYe8XHf2-DoZZgVi6HtM-6w1qqfvYbK5dmvrjEfvCxCnfOSkRo5nj2dkJ9v07dYJ2edUkbobb1ZTFmQgCDkpcoKtl0Gr_9eP4krk1PA75E5F2T1iXz9ceDmnzfBA.PQNk6kZuxHEWRiN3AsvWupD-J3gw-eQQ1JH_yw8AVeo&dib_tag=se&keywords=heated%2Bblanket&qid=1733521748&sprefix=heated%2Bbla%2Caps%2C137&sr=8-17-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1,https://m.media-amazon.com/images/I/716t0YfN3YL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
Game of Thrones Monopoly,"Hasbro Gaming Monopoly Game of Thrones Board Game for Adults, for 2 to 6 Players, Board Games for Adults (Amazon Exclusive)",43.99,30,Mint Condition,Available,8/8/2023,https://www.amazon.com/dp/B07K968Q1C?ref=ppx_yo2ov_dt_b_fed_asin_title,https://m.media-amazon.com/images/I/61BQbgQUfgL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,,
,,,,,,,,,,"If interested please reach out to 
Anikhet: +1(510)-304-7432 
Payal : +1(617)-817-9138",